ID,TYPE,LOG
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1163794Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:48.1164482Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7127738Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7131009Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7132893Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7134893Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:51.7136549Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3123739Z WARNING: An illegal reflective access operation has occurred
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3124670Z WARNING: Illegal reflective access by retrofit2.Platform$Java8 (file:/home/runner/work/retrofit/retrofit/retrofit/build/classes/java/main/) to constructor java.lang.invoke.MethodHandles$Lookup(java.lang.Class,int)
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3125838Z WARNING: Please consider reporting this to the maintainers of retrofit2.Platform$Java8
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3126982Z WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:55.3127751Z WARNING: All illegal access operations will be denied in a future release
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:21.8215570Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:22.4288480Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.3002360Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.4743000Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.4771420Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.5155000Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:23.6124670Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:09.6070650Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:52.2840080Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:38:21.6807630Z WARNING | Discarding the changed state (command-line flag).
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:32.5938230Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:33.1734410Z ERROR   | Unable to connect to adb daemon on port: 5037
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.2007890Z WARNING | cannot add library /Users/runner/Library/Android/sdk/emulator/qemu/darwin-x86_64/lib64/vulkan/libvulkan.dylib: failed
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.4595960Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.4629960Z WARNING | *** No gRPC protection active, consider launching with the -grpc-use-jwt flag.***
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.5322040Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:33.6510740Z WARNING | Failed to process .ini file /Users/runner/.android/emu-update-last-check.ini for reading.
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:58.8246810Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:36:47.3272420Z WARNING | /etc/localtime does not point to zoneinfo-compatible timezone name
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:38:00.4374140Z WARNING | Discarding the changed state (command-line flag).
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:14.8368510Z WARNING | encryption is off
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,WARN,"2023-10-04T19:34:14.8457110Z WARNING | Running on a system with less than 6 logical cores. Setting number of virtual cores to 1
"
logs_square-retrofit-6410640346-27618cf62ffbfa037f96389cd52f1984c45ff439.zip,ERROR,"2023-10-04T19:34:15.3697890Z ERROR   | Unable to connect to adb daemon on port: 5037
"
